Symbol,SName
PHOENIXLTD.BO,The Phoenix Mills Limited
SAIL.BO,Steel Authority of India Limited
BALKRISIND.BO,Balkrishna Industries Limited
ABCAPITAL.BO,Aditya Birla Capital Limited
POLICYBZR.BO,PB Fintech Limited
JSWINFRA.BO,JSW Infrastructure Limited
ASTRAL.BO,Astral Limited
ALKEM.BO,Alkem Laboratories Limited
UNOMINDA.BO,Uno Minda Limited
THERMAX.BO,Thermax Limited
BERGEPAINT.BO,Berger Paints India Limited
ABBOTINDIA.BO,Abbott India Limited
BDL.BO,Bharat Dynamics Limited
PERSISTENT.BO,Persistent Systems Limited
BANKINDIA.BO,Bank of India Limited
CENTRALBK.BO,Central Bank of India
GMRINFRA.BO,GMR Airports Infrastructure Limited
HUDCO.BO,Housing and Urban Development Corporation Limited
COCHINSHIP.BO,Cochin Shipyard Limited
UBL.BO,United Breweries Limited
PIIND.BO,PI Industries Limited
IDFCFIRSTB.BO,IDFC First Bank Limited
PGHH.BO,Procter & Gamble Hygiene and Health Care Limited
BHARTIHEXA.BO,Bharti Hexacom Limited
PATANJALI.BO,Patanjali Foods Limited
TATACOMM.BO,Tata Communications Limited
MRF.BO,MRF Limited
SJVN.BO,SJVN Limited
LTTS.BO,L&T Technology Services Limited
HONAUT.BO,Honeywell Automation India Limited
FACT.BO,The Fertilisers and Chemicals Travancore Limited
SUNDARMFIN.BO,Sundaram Finance Limited
ACC.BO,ACC Limited
VOLTAS.BO,Voltas Limited
AUBANK.BO,AU Small Finance Bank Limited
NYKAA.BO,FSN E-Commerce Ventures Limited
PETRONET.BO,Petronet LNG Limited
IREDA.BO,Indian Renewable Energy Development Agency Limited
POWERINDIA.BO,Hitachi Energy India Limited
MAHABANK.BO,Bank of Maharashtra
ESCORTS.BO,Escorts Kubota Limited
EXIDEIND.BO,Exide Industries Limited
MPHASIS.BO,Mphasis Limited
LTF.BO,L&T Finance Limited
TATAELXSI.BO,Tata Elxsi Limited
GLAXO.BO,GlaxoSmithKline Pharmaceuticals Limited
AWL.BO,Adani Wilmar Limited
COROMANDEL.BO,Coromandel International Limited
GUJGASLTD.BO,Gujarat Gas Limited
KEI.BO,KEI Industries Limited
APLAPOLLO.BO,APL Apollo Tubes Limited
PAGEIND.BO,Page Industries Limited
FEDERALBNK.BO,The Federal Bank Limited
PSB.BO,Punjab & Sind Bank
TATATECH.BO,Tata Technologies Limited
UPL.BO,UPL Limited
KALYANKJIL.BO,Kalyan Jewellers India Limited
3MINDIA.BO,3M India Limited
GET&D.BO,GE T&D India Limited
NAM-INDIA.BO,Nippon Life India Asset Management Limited
IRB.BO,IRB Infrastructure Developers Limited
LICHSGFIN.BO,LIC Housing Finance Limited
KPITTECH.BO,KPIT Technologies Limited
BIOCON.BO,Biocon Limited
NIACL.BO,The New India Assurance Company Limited
MOTILALOFS.BO,Motilal Oswal Financial Services Limited
SONACOMS.BO,Sona BLW Precision Forgings Limited
ENDURANCE.BO,Endurance Technologies Limited
FORTIS.BO,Fortis Healthcare Limited
AIAENG.BO,AIA Engineering Limited
MRPL.BO,Mangalore Refinery and Petrochemicals Limited
UNITDSPR.BO,United Spirits Limited
M&MFIN.BO,Mahindra & Mahindra Financial Services Limited
LLOYDSME.BO,Lloyds Metals and Energy Limited
MEDANTA.BO,Global Health Limited
FLUOROCHEM.BO,Gujarat Fluorochemicals Limited
BLUESTARCO.BO,Blue Star Limited
DALBHARAT.BO,Dalmia Bharat Limited
NATIONALUM.BO,National Aluminium Company Limited
JUBLFOOD.BO,Jubilant FoodWorks Limited
GLENMARK.BO,Glenmark Pharmaceuticals Limited
COFORGE.BO,Coforge Limited
TIMKEN.BO,Timken India Limited
EMBASSY.BO,Embassy Office Parks REIT
MFSL.BO,Max Financial Services Limited
SKFINDIA.BO,SKF India Limited
TATAINVEST.BO,Tata Investment Corporation Limited
CARBORUNIV.BO,Carborundum Universal Limited
IGL.BO,Indraprastha Gas Limited
POONAWALLA.BO,Poonawalla Fincorp Limited
APARINDS.BO,APAR Industries Limited
JKCEMENT.BO,J.K. Cement Limited
ABFRL.BO,Aditya Birla Fashion and Retail Limited
ZFCVINDIA.BO,ZF Commercial Vehicle Control Systems India Limited
DEEPAKNTR.BO,DEEPAK NITRITE LTD.
MSUMI.BO,Motherson Sumi Wiring India Limited
HINDCOPPER.BO,Hindustan Copper Limited
NLCINDIA.BO,NLC India Limited
BRIGADE.BO,Brigade Enterprises Limited
BANDHANBNK.BO,Bandhan Bank Limited
METROBRAND.BO,Metro Brands Limited
STARHEALTH.BO,Star Health and Allied Insurance Company Limited
GODIGIT.BO,Go Digit General Insurance Limited
EMAMILTD.BO,Emami Limited
GLAND.BO,Gland Pharma Limited
APOLLOTYRE.BO,Apollo Tyres Limited
GRINDWELL.BO,Grindwell Norton Limited
CRISIL.BO,CRISIL Limited
IPCALAB.BO,Ipca Laboratories Limited
DELHIVERY.BO,Delhivery Limited
SUNTV.BO,Sun TV Network Limited
AJANTPHARM.BO,Ajanta Pharma Limited
ITI.BO,ITI Limited
KPRMILL.BO,K.P.R. Mill Limited
360ONE.BO,360 One Wam Limited
JBCHEPHARM.BO,J. B. Chemicals & Pharmaceuticals Limited
NBCC.BO,NBCC (India) Limited
SYNGENE.BO,Syngene International Limited
JWL.BO,Jupiter Wagons Limited
TATACHEM.BO,Tata Chemicals Limited
KIOCL.BO,KIOCL Limited
MANYAVAR.BO,Vedant Fashions Limited
GODREJIND.BO,Godrej Industries Limited
EIHOTEL.BO,EIH Limited
BAYERCROP.BO,Bayer CropScience Limited
CROMPTON.BO,Crompton Greaves Consumer Electricals Limited
SUNDRMFAST.BO,Sundram Fasteners Limited
PAYTM.BO,One97 Communications Limited
JYOTICNC.BO,Jyoti CNC Automation Limited
IRCON.BO,Ircon International Limited
GILLETTE.BO,Gillette India Limited
NH.BO,Narayana Hrudayalaya Limited
CENTURYTEX.BO,Century Textiles and Industries Limited
SUMICHEM.BO,Sumitomo Chemical India Limited
ARE&M.BO,Amara Raja Energy & Mobility Limited
AARTIIND.BO,Aarti Industries Limited
FINCABLES.BO,Finolex Cables Limited
JBMA.BO,JBM Auto Limited
TVSHLTD.BO,TVS Holdings Limited
KAYNES.BO,Kaynes Technology India Limited
HATSUN.BO,Hatsun Agro Product Limited
CHOLAHLDNG.BO,Cholamandalam Financial Holdings Limited
KEC.BO,KEC International Limited
RATNAMANI.BO,Ratnamani Metals & Tubes Limited
FIVESTAR.BO,Five-Star Business Finance Limited
CREDITACC.BO,CreditAccess Grameen Limited
LAURUSLABS.BO,Laurus Labs Limited
ANGELONE.BO,Angel One Limited
TEJASNET.BO,Tejas Networks Limited
ISEC.BO,ICICI Securities Limited
RADICO.BO,Radico Khaitan Limited
LALPATHLAB.BO,Dr. Lal PathLabs Limited
KANSAINER.BO,Kansai Nerolac Paints Limited
WHIRLPOOL.BO,Whirlpool of India Limited
PFIZER.BO,Pfizer Limited
ELGIEQUIP.BO,Elgi Equipments Limited
NATCOPHARM.BO,NATCO Pharma Limited
PNBHOUSING.BO,PNB Housing Finance Limited
CIEINDIA.BO,CIE Automotive India Limited
DEVYANI.BO,Devyani International Limited
BASF.BO,BASF India Limited
PTCIL.BO,PTC Industries Limited
GODFRYPHLP.BO,Godfrey Phillips India Limited
PPLPHARMA.BO,Piramal Pharma Limited
RELAXO.BO,Relaxo Footwears Limited
CYIENT.BO,Cyient Limited
NCC.BO,NCC Limited
SOBHA.BO,Sobha Limited
FINPIPE.BO,FINOLEX INDUSTRIES LTD.
RAMCOCEM.BO,The Ramco Cements Limited
KAJARIACER.BO,Kajaria Ceramics Limited
NXST.BO,Nexus Select Trust
CASTROLIND.BO,Castrol India Limited
MINDSPACE.BO,Mindspace Business Parks REIT
TITAGARH.BO,Titagarh Rail Systems Limited
PEL.BO,Piramal Enterprises Limited
MCX.BO,Multi Commodity Exchange of India Limited
KPIL.BO,Kalpataru Projects International Limited
SWANENERGY.BO,Swan Energy Limited
IIFL.BO,IIFL Finance Limited
CESC.BO,CESC Limited
TRIDENT.BO,Trident Limited
RRKABEL.BO,R R Kabel Limited
BEML.BO,BEML Limited
ABSLAMC.BO,Aditya Birla Sun Life AMC Limited
VINATIORGA.BO,Vinati Organics Limited
KIRLOSENG.BO,Kirloskar Oil Engines Limited
SCHNEIDER.BO,Schneider Electric Infrastructure Limited
POLYMED.BO,Poly Medicure Limited
SIGNATURE.BO,Signatureglobal (India) Limited
AIIL.BO,Authum Investment & Infrastructure Limited
INOXWIND.BO,Inox Wind Limited
BLUEDART.BO,Blue Dart Express Limited
BSOFT.BO,Birlasoft Limited
GRSE.BO,Garden Reach Shipbuilders & Engineers Limited
BATAINDIA.BO,Bata India Limited
CGCL.BO,Capri Global Capital Limited
CELLO.BO,Cello World Limited
ATUL.BO,Atul Ltd
IDFC.BO,IDFC Limited
SUVENPHAR.BO,Suven Pharmaceuticals Limited
BIKAJI.BO,Bikaji Foods International Limited
TRITURBINE.BO,Triveni Turbine Limited
SHYAMMETL.BO,Shyam Metalics and Energy Limited
CHALET.BO,Chalet Hotels Limited
NUVAMA.BO,Nuvama Wealth Management Limited
AADHARHFC.BO,Aadhar Housing Finance Limited
HSCL.BO,Himadri Speciality Chemical Limited
JINDALSAW.BO,Jindal Saw Limited
ASTERDM.BO,Aster DM Healthcare Limited
ACE.BO,Action Construction Equipment Limited
CAMS.BO,Computer Age Management Services Limited
AFFLE.BO,Affle (India) Limited
NAVINFLUOR.BO,Navin Fluorine International Limited
SWSOLAR.BO,Sterling and Wilson Renewable Energy Limited
TBOTEK.BO,TBO Tek Limited
APLLTD.BO,Alembic Pharmaceuticals Limited
NSLNISP.BO,NMDC Steel Limited
APTUS.BO,Aptus Value Housing Finance India Limited
MANCREDIT.BO,Mangal Credit and Fincorp Limited
GESHIP.BO,The Great Eastern Shipping Company Limited
VGUARD.BO,V-Guard Industries Limited
KIRLOSBROS.BO,Kirloskar Brothers Limited
GSPL.BO,Gujarat State Petronet Limited
LAXMIMACH.BO,Lakshmi Machine Works Limited
CHAMBLFERT.BO,Chambal Fertilisers and Chemicals Limited
HFCL.BO,HFCL Limited
REDINGTON.BO,Redington Limited
RITES.BO,RITES Limited
IFCI.BO,IFCI Limited
KARURVYSYA.BO,The Karur Vysya Bank Limited
ANANDRATHI.BO,Anand Rathi Wealth Limited
RAYMOND.BO,Raymond Limited
JYOTHYLAB.BO,Jyothy Labs Limited
KSB.BO,KSB Limited
JAIBALAJI.BO,Jai Balaji Industries Limited
DATAPATTNS.BO,Data Patterns (India) Limited
KIMS.BO,Krishna Institute of Medical Sciences Limited
GRINFRA.BO,G R Infraprojects Limited
ASTRAZEN.BO,AstraZeneca Pharma India Limited
DCMSHRIRAM.BO,DCM Shriram Limited
CONCORDBIO.BO,Concord Biotech Limited
IEX.BO,Indian Energy Exchange Limited
ZENSARTECH.BO,Zensar Technologies Limited
ZEEL.BO,Zee Entertainment Enterprises Limited
SANOFI.BO,Sanofi India Limited
MANAPPURAM.BO,Manappuram Finance Limited
SONATSOFTW.BO,Sonata Software Limited
TECHNOE.BO,Techno Electric & Engineering Company Limited
RBLBANK.BO,RBL Bank Limited
CENTURYPLY.BO,Century Plyboards (India) Limited
INDIAMART.BO,IndiaMART InterMESH Limited
TTML.BO,Tata Teleservices (Maharashtra) Limited
ASAHIINDIA.BO,Asahi India Glass Limited
ENGINERSIN.BO,Engineers India Limited
ELECON.BO,Elecon Engineering Company Limited
INTELLECT.BO,Intellect Design Arena Limited
CHENNPETRO.BO,Chennai Petroleum Corporation Limited
AAVAS.BO,Aavas Financiers Limited
